test_id,applicability,topic,decision_rule_ref
BC-001,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-002,APPLICABLE_AUTOMATABLE,code-analysis,topic:code-analysis->probe:STATIC_ANALYSIS
BC-003,APPLICABLE_AUTOMATABLE,code-analysis,topic:code-analysis->probe:STATIC_ANALYSIS
BC-004,APPLICABLE_AUTOMATABLE,code-analysis,topic:code-analysis->probe:STATIC_ANALYSIS
BC-005,APPLICABLE_AUTOMATABLE,code-analysis,topic:code-analysis->probe:STATIC_ANALYSIS
BC-006,APPLICABLE_AUTOMATABLE,code-analysis,topic:code-analysis->probe:STATIC_ANALYSIS
BC-007,APPLICABLE_AUTOMATABLE,code-analysis,topic:code-analysis->probe:STATIC_ANALYSIS
BC-008,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-009,APPLICABLE_AUTOMATABLE,runtime,topic:runtime->probe:SERVICE
BC-010,APPLICABLE_AUTOMATABLE,runtime-monitoring,topic:runtime-monitoring->probe:OBSERVABILITY
BC-011,APPLICABLE_AUTOMATABLE,persistence,topic:persistence->probe:PERSISTENCE
BC-012,APPLICABLE_AUTOMATABLE,runtime-monitoring,topic:runtime-monitoring->probe:OBSERVABILITY
BC-013,APPLICABLE_AUTOMATABLE,runtime-monitoring,topic:runtime-monitoring->probe:OBSERVABILITY
BC-014,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-015,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-016,APPLICABLE_AUTOMATABLE,formal-methods,topic:formal-methods->probe:FORMAL
BC-017,APPLICABLE_AUTOMATABLE,formal-methods,topic:formal-methods->probe:FORMAL
BC-018,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
BC-019,APPLICABLE_AUTOMATABLE,stateful,topic:stateful->probe:PERSISTENCE
BC-020,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
BC-021,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
BC-022,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
BC-023,APPLICABLE_AUTOMATABLE,formal-methods,topic:formal-methods->probe:FORMAL
BC-024,APPLICABLE_AUTOMATABLE,formal-methods,topic:formal-methods->probe:FORMAL
